page_a,page_b,shared_doubletons
f83r,f108v,3
f104r,f105r,3
f113r,f115r,3
f8r,f86v6,2
f8r,f8v,2
f23r,f69r,2
f39r,f108r,2
f46r,f104r,2
f58r,f68r2,2
f72r2,f72v2,2
f75v,f84v,2
f76v,f111r,2
f80r,f115r,2
f81r,f105r,2
f83v,f111r,2
f86v3,f103v,2
f100v,f113r,2
f103v,f108r,2
f103v,f112v,2
f104r,f115r,2
f104v,f114r,2
f104v,f115r,2
f105v,f106v,2
f105v,f112r,2
f106v,f114r,2
f107r,f112r,2
f107v,f116r,2
f108r,f112v,2
f108v,f115v,2
f108v,f111r,2
f111r,f113r,2
f111v,f113v,2
f112r,f115v,2
f112v,f115v,2
f114r,f114v,2
f1r,f95r2,1
f1r,f18v,1
f1r,f57v,1
f1r,f1v,1
f1r,f102v2,1
f1r,f89r1,1
f1r,f27v,1
f1r,f3v,1
f1r,f37v,1
f1r,f53v,1
f1r,f72v3,1
f1r,f15r,1
f1r,f111v,1
f1r,f53r,1
f1v,f86v6,1
f1v,f24r,1
f1v,f49v,1
f1v,f113r,1
f1v,f70v2,1
f1v,f99r,1
f1v,f68v3,1
f1v,f87r,1
f2r,f53r,1
f2r,f83r,1
f2r,f54r,1
f2v,f29v,1
f2v,f111v,1
f3r,f112r,1
f3r,f88v,1
f3r,f5r,1
f3r,f104v,1
f3r,f45v,1
f3v,f114v,1
f3v,f67r2,1
f3v,f82v,1
f3v,f72r1,1
f3v,f89v1,1
f3v,f83v,1
f4r,f67r1,1
f4r,f42r,1
f4r,f15r,1
f4r,f29v,1
f4r,f25r,1
f4r,f9r,1
f4r,f4v,1
f4r,f80v,1
f4v,f55r,1
f4v,f33r,1
f4v,f13r,1
f4v,f35r,1
f4v,f108r,1
f4v,f86v6,1
f4v,f56r,1
f4v,f89v2,1
f5r,f99v,1
f5r,f58r,1
f5r,f20r,1
f5v,f30v,1
f6r,f24v,1
f6r,f49v,1
f6r,f105r,1
f6r,f90v2,1
f6r,f95v1,1
f6r,f24r,1
f6v,f45v,1
f6v,f111v,1
f6v,f31v,1
f6v,f23r,1
f7r,f95v1,1
f7r,f86v6,1
f7r,f39r,1
f7r,f22v,1
f7v,f18r,1
f7v,f14v,1
f7v,f49r,1
f8r,f21v,1
f8r,f96r,1
f8r,f14r,1
f8r,f9r,1
f8r,f46r,1
f8r,f56v,1
f8r,f15r,1
