word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
daraiin,28,25166,25138,f1r,f95r2,A,Q,A,B,T,H
cphoy,49,2859,2810,f1r,f18v,A,C,A,A,T,H
okchoy,57,10176,10119,f1r,f57v,A,H,A,?,T,C
shoshy,77,240,163,f1r,f1v,A,A,A,A,T,H
shoy,87,26889,26802,f1r,f102v2,A,S,A,A,T,P
oldain,94,23651,23557,f1r,f89r1,A,O,A,A,T,P
kod,105,4319,4214,f1r,f27v,A,D,A,A,T,H
kchom,124,613,489,f1r,f3v,A,A,A,A,T,H
cthols,147,6076,5929,f1r,f37v,A,E,A,A,T,H
cpho,156,9230,9074,f1r,f53v,A,G,A,A,T,H
okay,183,13990,13807,f1r,f72v3,A,K,A,?,T,Z
kokaiin,187,2235,2048,f1r,f15r,A,B,A,A,T,H
koshey,190,33201,33011,f1r,f111v,A,T,A,B,T,S
chtor,196,9215,9019,f1r,f53r,A,G,A,A,T,H
oltchey,205,22453,22248,f1v,f86v6,A,N,A,B,H,T
cfhar,207,3781,3574,f1v,f24r,A,C,A,A,H,H
chokeo,227,8610,8383,f1v,f49v,A,G,A,A,H,H
cphoal,235,34905,34670,f1v,f113r,A,T,A,B,H,S
otoaiin,239,13169,12930,f1v,f70v2,A,J,A,?,H,Z
dolchey,246,25691,25445,f1v,f99r,A,S,A,A,H,P
chodo,247,12212,11965,f1v,f68v3,A,I,A,?,H,C
schody,289,23233,22944,f1v,f87r,A,O,A,A,H,H
ykody,351,9189,8838,f2r,f53r,A,G,A,A,H,H
olsaiin,372,20351,19979,f2r,f83r,A,M,A,B,H,B
yor,379,9404,9025,f2r,f54r,A,G,A,A,H,H
kooiin,391,4543,4152,f2v,f29v,A,D,A,A,H,H
loeees,405,33752,33347,f2v,f111v,A,T,A,B,H,S
qopal,453,34090,33637,f3r,f112r,A,T,A,B,H,S
qokeom,532,23513,22981,f3r,f88v,A,O,A,A,H,P
qoeor,552,842,290,f3r,f5r,A,A,A,A,H,H
qosaiin,555,28825,28270,f3r,f104v,A,T,A,B,H,S
okolor,564,7682,7118,f3r,f45v,A,F,A,A,H,H
qotoy,568,36183,35615,f3v,f114v,A,T,A,B,H,S
ykoaiin,571,11719,11148,f3v,f67r2,A,I,A,?,H,A
okai,587,19851,19264,f3v,f82v,A,M,A,B,H,B
chekeol,615,13570,12955,f3v,f72r1,A,K,A,?,H,Z
chodair,635,24229,23594,f3v,f89v1,A,O,A,A,H,P
sheam,647,20612,19965,f3v,f83v,A,M,A,B,H,B
ytoy,657,11537,10880,f4r,f67r1,A,I,A,?,H,A
pydaiin,680,6944,6264,f4r,f42r,A,F,A,A,H,H
tydy,683,2217,1534,f4r,f15r,A,B,A,A,H,H
shytchy,685,4547,3862,f4r,f29v,A,D,A,A,H,H
cpholdy,696,3922,3226,f4r,f25r,A,D,A,A,H,H
koraiin,700,1562,862,f4r,f9r,A,B,A,A,H,H
qotchoiin,705,747,42,f4r,f4v,A,A,A,A,H,H
sheyr,706,18878,18172,f4r,f80v,A,M,A,B,H,B
kchoy,715,9549,8834,f4v,f55r,A,G,A,B,H,H
cphody,751,5169,4418,f4v,f33r,A,E,A,B,H,H
torchy,752,1975,1223,f4v,f13r,A,B,A,A,H,H
cthory,762,5621,4859,f4v,f35r,A,E,A,A,H,H
qokoy,779,31826,31047,f4v,f108r,A,T,A,B,H,S
ochody,793,22029,21236,f4v,f86v6,A,N,A,B,H,T
chykey,794,9746,8952,f4v,f56r,A,G,A,A,H,H
chtody,795,24189,23394,f4v,f89v2,A,O,A,A,H,P
olsy,801,25772,24971,f5r,f99v,A,S,A,A,H,P
cholols,832,10512,9680,f5r,f58r,A,H,A,A,H,S
qotoeey,846,3032,2186,f5r,f20r,A,C,A,A,H,H
cheotol,887,4780,3893,f5v,f30v,A,D,A,A,H,H
