word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
cthes,26,35623,35597,f1r,f113r,A,T,A,B,T,S
cfhaiin,42,1333,1291,f1r,f8r,A,A,A,A,T,H
cphoy,47,2814,2767,f1r,f18v,A,C,A,A,T,H
cphodal,75,8836,8761,f1r,f51r,A,G,A,A,T,H
es,76,11599,11523,f1r,f67r2,A,I,A,?,T,A
shoy,85,27465,27380,f1r,f102v2,A,S,A,A,T,P
<152>an,101,13390,13289,f1r,f71v,A,K,A,?,T,Z
kod,103,4271,4168,f1r,f27v,A,D,A,A,T,H
dchar,141,4308,4167,f1r,f28r,A,D,A,A,T,H
cthols,147,6001,5854,f1r,f37v,A,E,A,A,T,H
kokaiin,190,2193,2003,f1r,f15r,A,B,A,A,T,H
chtor,201,9112,8911,f1r,f53r,A,G,A,A,T,H
cfhar,212,3725,3513,f1v,f24r,A,C,A,A,H,H
okodar,220,22044,21824,f1v,fRos,A,N,A,B,H,C
cphoal,240,35556,35316,f1v,f113r,A,T,A,B,H,S
otoaiin,244,13080,12836,f1v,f70v2,A,J,A,?,H,Z
choees,257,3013,2756,f1v,f20r,A,C,A,A,H,H
dolky,279,6280,6001,f1v,f39v,A,E,A,B,H,H
toor,286,22136,21850,f1v,fRos,A,N,A,B,H,C
ykody,351,9086,8735,f2r,f53r,A,G,A,A,H,H
olsaiin,371,20264,19893,f2r,f83r,A,M,A,B,H,B
yor,378,9299,8921,f2r,f54r,A,G,A,A,H,H
kooiin,394,4492,4098,f2v,f29v,A,D,A,A,H,H
loeees,404,34407,34003,f2v,f111v,A,T,A,B,H,S
qopal,451,34739,34288,f3r,f112r,A,T,A,B,H,S
otchody,493,2060,1567,f3r,f14r,A,B,A,A,H,H
qokeom,530,24031,23501,f3r,f88v,A,O,A,A,H,P
qopchor,541,5800,5259,f3r,f36v,A,E,A,A,H,H
qoeor,548,831,283,f3r,f5r,A,A,A,A,H,H
qosaiin,551,29435,28884,f3r,f104v,A,T,A,B,H,S
okolor,560,7591,7031,f3r,f45v,A,F,A,A,H,H
sha,565,1004,439,f3v,f6v,A,A,A,A,H,H
ykoaiin,567,11643,11076,f3v,f67r2,A,I,A,?,H,A
okai,583,19752,19169,f3v,f82v,A,M,A,B,H,B
ochos,617,34897,34280,f3v,f112v,A,T,A,B,H,S
chodair,630,24749,24119,f3v,f89v1,A,O,A,A,H,P
keam,644,32630,31986,f3v,f108r,A,T,A,B,H,S
pydaiin,676,6859,6183,f4r,f42r,A,F,A,A,H,H
shytchy,680,4497,3817,f4r,f29v,A,D,A,A,H,H
cpholdy,690,3870,3180,f4r,f25r,A,D,A,A,H,H
qotchoiin,700,740,40,f4r,f4v,A,A,A,A,H,H
qot<221>,702,783,81,f4r,f4v,A,A,A,A,H,H
kchoy,710,9442,8732,f4v,f55r,A,G,A,B,H,H
ytchoy,742,994,252,f4v,f6v,A,A,A,A,H,H
torchy,745,1943,1198,f4v,f13r,A,B,A,A,H,H
cthory,755,5557,4802,f4v,f35r,A,E,A,A,H,H
skeey,774,20906,20132,f4v,f84r,A,M,A,B,H,B
chykey,785,9634,8849,f4v,f56r,A,G,A,A,H,H
olsy,792,26288,25496,f5r,f99v,A,S,A,A,H,P
cholols,822,10421,9599,f5r,f58r,A,H,A,A,H,S
qotoeey,835,2984,2149,f5r,f20r,A,C,A,A,H,H
<222>tchey,842,10868,10026,f5v,f65v,A,H,A,?,H,H
cheotol,875,4726,3851,f5v,f30v,A,D,A,A,H,H
foar,884,3839,2955,f6r,f24v,A,C,A,A,H,H
chotols,900,26599,25699,f6r,f100v,A,S,A,A,H,P
poeear,901,23962,23061,f6r,f88r,A,O,A,A,H,P
kshor,902,8411,7509,f6r,f49v,A,G,A,A,H,H
cheoeees,905,3732,2827,f6r,f24r,A,C,A,A,H,H
pchar,938,1429,491,f6r,f8v,A,A,A,A,H,H
ctheod,947,24999,24052,f6r,f90v2,A,O,A,A,H,H
qocthol,961,3705,2744,f6r,f24r,A,C,A,A,H,H
che<221>s,981,26784,25803,f6v,f101r,A,S,A,A,H,P
chocthhy,1012,6004,4992,f6v,f37v,A,E,A,A,H,H
ychos,1014,25220,24206,f6v,f93r,A,Q,A,A,H,H
qokom,1022,7644,6622,f6v,f45v,A,F,A,A,H,H
oeeo,1023,26944,25921,f6v,f101v,A,S,A,A,H,P
ytchos,1035,4853,3818,f6v,f31v,A,D,A,B,H,H
fchodaiin,1078,25892,24814,f7r,f95v1,A,Q,A,B,H,H
qoos,1082,4455,3373,f7r,f29r,A,D,A,A,H,H
kchos,1105,8470,7365,f7r,f49v,A,G,A,A,H,H
otshol,1146,2688,1542,f7v,f18r,A,C,A,A,H,H
chcphhy,1154,22333,21179,f7v,f86v4,A,N,A,B,H,C
dykchy,1160,2158,998,f7v,f14v,A,B,A,A,H,H
dchodaiin,1178,8375,7197,f7v,f49r,A,G,A,A,H,H
pshol,1212,24249,23037,f8r,f89r1,A,O,A,A,H,P
chof,1243,4239,2996,f8r,f27v,A,D,A,A,H,H
choto,1263,37672,36409,f8r,f115v,A,T,A,B,H,S
choor,1265,2047,782,f8r,f14r,A,B,A,A,H,H
sholdaiin,1275,27117,25842,f8r,f102r1,A,S,A,A,H,P
<222>chey,1316,27637,26321,f8r,f102v1,A,S,A,A,H,P
scheaiin,1319,2179,860,f8r,f15r,A,B,A,A,H,H
chean,1328,1386,58,f8r,f8v,A,A,A,A,H,H
cha,1338,1455,117,f8r,f8v,A,A,A,A,H,H
saim,1356,7839,6483,f8r,f46v,A,F,A,B,H,H
opydaiin,1364,2549,1185,f8v,f17v,A,C,A,A,H,H
cthan,1399,38227,36828,f8v,f116r,A,T,A,B,H,S
cheykaiin,1401,34379,32978,f8v,f111v,A,T,A,B,H,S
cth<221>r,1421,2642,1221,f8v,f17v,A,C,A,A,H,H
pchy,1426,4199,2773,f8v,f27r,A,D,A,A,H,H
sorain,1428,21697,20269,f8v,f85r2,A,N,A,B,H,C
chodey,1469,2987,1518,f8v,f20r,A,C,A,A,H,H
oykeey,1485,2024,539,f9r,f14r,B,B,A,A,H,H
qotod,1496,9167,7671,f9r,f53v,B,G,A,A,H,H
qofol,1562,21460,19898,f9v,f85r1,B,N,A,B,H,T
toldy,1591,7128,5537,f9v,f43r,B,F,A,B,H,H
odol,1601,25292,23691,f9v,f93r,B,Q,A,A,H,H
ctchy,1612,6978,5366,f9v,f42v,B,F,A,A,H,H
chorchy,1642,9627,7985,f10r,f56r,B,G,A,A,H,H
pchodol,1643,2546,903,f10r,f17v,B,C,A,A,H,H
olty,1748,17633,15885,f10v,f79r,B,M,A,B,H,B
qotoiin,1771,5964,4193,f10v,f37v,B,E,A,A,H,H
dod,1805,7582,5777,f11r,f45v,B,F,A,A,H,H
ddy,1873,2816,943,f11v,f18v,B,C,A,A,H,H
shkchy,1895,28138,26243,f13r,f103r,B,T,A,B,H,S
ydal,1896,3804,1908,f13r,f24v,B,C,A,A,H,H
ytshy,1909,2763,854,f13r,f18v,B,C,A,A,H,H
qodchy,1913,2831,918,f13r,f19r,B,C,A,A,H,H
